#Alarm Systems
Paradox Digital Motion Detector                            26/-
Wireless Paradox Analogue Single Optic Detector 72/-
Paradox 360deg Mounter PIR                               56/-
Paradox TM50 Touchscreen keypad                     190/-
16 Zone SP Panel PCB                                       139/-
10 Zone SP Panel PCB                                       90/-
192 Zone Alarm/Access Control PCB                   130/-
Paradox IP150 Internet Module for Insite Gold       151/-
Hybrid 10 Zone panel                                          154/-
Wireless Remote Slim Style                                44/-
10 Zone Hardwired LED keypad                            74/-
Wireless Expansion module                                120/-
